Country,Year,Residence Type,Basic service,Limited service,No handwashing facility,Open defecation,Safely managed service,Surface water,Unimproved
Albania,2016,rural,57.49075,4.0322700000000005,0.0,0.0,39.39478,0.0,2.58738
Albania,2016,total,39.446465,3.615015,0.0,0.0,54.916160000000005,0.0,2.02236
Albania,2016,urban,58.11748000000001,3.3180549999999998,0.0,0.0,40.17054,0.0,1.6202299999999998
Albania,2017,rural,57.49075,4.0322700000000005,0.0,0.0,39.39478,0.0,2.58738
Albania,2017,total,39.439499999999995,3.6081450000000004,0.0,0.0,54.9393,0.0,2.01306
Albania,2017,urban,58.11748000000001,3.3180549999999998,0.0,0.0,40.17054,0.0,1.6202299999999998
Algeria,2000,rural,53.086169999999996,9.040845,0.0,14.81241,19.23574,1.0,5.230995
Algeria,2000,total,65.1963,6.948130000000001,0.0,6.38279,18.53428,0.46073000000000003,2.846195
Algeria,2000,urban,73.29699000000001,5.5482700000000005,0.0,0.74405,18.06506,0.1,1.25096
Algeria,2001,rural,53.64184,9.10346,0.0,13.97671,19.33923,0.96154,5.09692
Algeria,2001,total,65.57045,6.943255000000001,0.0,5.92046,18.5017,0.43848000000000004,2.7839050000000003
Algeria,2001,urban,73.2897,5.545345,0.0,0.70709,17.95971,0.1,1.2871100000000002
Algeria,2002,rural,54.19751,9.16607,0.0,13.141010000000001,19.44271,0.9230799999999999,4.962835
Algeria,2002,total,65.93491,6.937485,0.0,5.47129,18.46586,0.41688000000000003,2.7244650000000004
Algeria,2002,urban,73.2824,5.542409999999999,0.0,0.67013,17.85436,0.1,1.3232599999999999
Algeria,2003,rural,54.75318000000001,9.22869,0.0,12.30532,19.5462,0.8846200000000001,4.828755
Algeria,2003,total,66.28938000000001,6.930900000000001,0.0,5.03543,18.42684,0.39593,2.66791
Algeria,2003,urban,73.2751,5.5394749999999995,0.0,0.6331600000000001,17.749010000000002,0.1,1.35942
Algeria,2004,rural,55.30885,9.291305,0.0,11.469619999999999,19.64968,0.84615,4.694675
Algeria,2004,total,66.63395,6.923515,0.0,4.61273,18.38467,0.37562,2.614225
Algeria,2004,urban,73.26781,5.536545,0.0,0.5962,17.64366,0.1,1.3955699999999998
Algeria,2005,rural,55.86452,9.353925,0.0,10.63392,19.75317,0.80769,4.56059
