Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,urban,Drinking water,2004,6.41049,1305796.46578,Basic service
sdg,Australia and New Zealand,total,Drinking water,2004,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2004,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2004,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2004,93.46957,19039456.98167,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2004,0.0387,9298.16395,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2004,0.2541,9298.16421,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2004,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2004,0.16359,39308.96556,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2004,0.40657,14877.06273,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2004,0.11994,24431.11063,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2005,38.05436,9275468.14854,Basic service
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2005,61.93829,15096998.55695,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2005,0.00735,1790.29451,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2005,99.81579,24329356.40437,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2005,99.4087,3663490.73119,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2005,6.03533,1248648.7451,Basic service
sdg,Australia and New Zealand,total,Drinking water,2005,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2005,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2005,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2005,93.85296,19417216.56251,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2005,0.03201,7801.08449,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2005,0.21168,7801.08438,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2005,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2005,0.15221,37099.51116,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2005,0.37962,13989.94466,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2005,0.1117,23109.93215,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2006,37.22969,9217892.96818,Basic service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2006,62.76296,15539810.24607,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2006,0.00735,1819.78577,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2006,99.83363,24718329.98243,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2006,99.47778,3697635.79309,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2006,5.663,1191635.10934,Basic service
sdg,Australia and New Zealand,total,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2006,94.23349,19829058.59205,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2006,0.02543,6295.52456,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2006,0.16937,6295.52462,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2006,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2006,0.14095,34897.49304,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2006,0.35285,13115.67628,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2006,0.10352,21782.30461,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2007,36.40776,9167407.37757,Basic service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2007,63.58488,16010554.09752,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2007,0.00736,1853.52488,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2007,99.8513,25142373.09575,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2007,99.54733,3740524.36291,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2007,5.29351,1133991.23847,Basic service
sdg,Australia and New Zealand,total,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2007,94.61111,20267857.73797,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2007,0.01894,4768.92739,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2007,0.12692,4768.92748,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2007,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2007,0.12976,32672.97686,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2007,0.32575,12240.24721,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2007,0.09538,20432.48594,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2008,35.58692,9117659.02404,Basic service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2008,64.40571,16501269.36869,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2008,0.00737,1888.60724,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2008,99.86884,25587213.25191,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2008,99.61668,3785957.05065,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2008,4.92393,1074415.97999,Basic service
sdg,Australia and New Zealand,total,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2008,94.98883,20726840.52597,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2008,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2008,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2008,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2008,0.13116,33603.74809,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2008,0.38332,14568.04267,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2008,0.08724,19035.40072,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2009,34.76505,9060648.80519,Basic service
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2009,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2009,65.22757,16999948.95326,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2009,0.00738,1924.24158,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2009,99.88629,26032885.25021,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2009,99.68595,3830866.79216,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2009,4.5528,1011613.83691,Basic service
sdg,Australia and New Zealand,total,Drinking water,2009,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2009,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2009,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2009,95.36814,21190405.47478,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2009,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2009,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2009,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2009,0.11371,29636.74979,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2009,0.31405,12068.60989,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2009,0.07906,17567.28626,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2010,33.94084,8990970.82283,Basic service
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2010,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2010,66.05177,17497197.3461,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2010,0.00739,1957.83107,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2010,99.90365,26464603.82387,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2010,99.75518,3873062.20113,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2010,4.17945,944870.8957,Basic service
sdg,Australia and New Zealand,total,Drinking water,2010,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2010,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2010,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2010,95.74971,21646671.45873,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2010,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2010,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2010,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2010,0.09635,25522.17613,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2010,0.24482,9505.47867,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2010,0.07084,16015.96577,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2011,33.11403,8907066.33204,Basic service
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2011,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2011,66.87858,17989108.2296,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2011,0.00739,1988.43836,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2011,99.92094,26876897.59993,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2011,99.82432,3911797.98568,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2011,3.80396,874130.16383,Basic service
sdg,Australia and New Zealand,total,Drinking water,2011,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2011,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2011,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2011,96.13346,22090968.96248,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2011,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2011,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2011,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2011,0.07906,21265.40007,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2011,0.17568,6884.43671,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2011,0.06258,14381.45131,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2012,32.28518,8810494.4047,Basic service
sdg,Australia and New Zealand,total,Sanitation,2012,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2012,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2012,67.70742,18477079.71041,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2012,0.0074,2018.88488,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2012,99.93811,27272704.65701,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2012,99.89316,3945604.43772,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2012,3.42598,799616.75496,Basic service
sdg,Australia and New Zealand,total,Drinking water,2012,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2012,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2012,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2012,96.51974,22527483.15927,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2012,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2012,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2012,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2012,0.06189,16888.34299,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2012,0.10684,4219.94247,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2012,0.05428,12668.70558,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2013,31.45483,8703002.75608,Basic service
sdg,Australia and New Zealand,total,Sanitation,2013,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2013,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2013,68.53777,18963204.20009,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2013,0.0074,2048.04383,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2013,99.95519,27655857.98278,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2013,99.96204,3977352.438,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2013,3.42004,810186.51923,Basic service
sdg,Australia and New Zealand,total,Drinking water,2013,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2013,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2013,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2013,96.534,22868318.78151,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2013,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2013,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2013,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2013,0.04481,12397.01722,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2013,0.03796,1510.37678,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2013,0.04596,10886.88448,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2014,30.62375,8587319.77706,Basic service
sdg,Australia and New Zealand,total,Sanitation,2014,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2014,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2014,69.36884,19451971.82335,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2014,0.0074,2076.39959,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2014,99.96775,28032325.89606,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2014,100,4006388.96857,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2014,3.41834,821596.86866,Basic service
sdg,Australia and New Zealand,total,Drinking water,2014,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2014,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2014,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2014,96.54404,23204339.50973,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2014,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2014,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2014,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2014,0.03225,9042.10394,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2014,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2014,0.03762,9042.65305,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2015,29.79245,8465254.20765,Basic service
sdg,Australia and New Zealand,total,Sanitation,2015,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2015,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2015,70.20013,19946727.85449,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2015,0.00741,2105.93786,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2015,99.97488,28406948.99611,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2015,100,4033398.13764,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2015,3.42199,834303.63244,Basic service
sdg,Australia and New Zealand,total,Drinking water,2015,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2015,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2015,0,0,Limited service
