,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
1620,sdg,Europe and Northern America,total,Sanitation,2011,22.869670000000003,247883018.15201002,Basic service
1623,sdg,Europe and Northern America,total,Sanitation,2011,0.6672100000000001,7231855.11614,Limited service
1626,sdg,Europe and Northern America,total,Sanitation,2011,0.0037799999999999995,40971.48839,Open defecation
1629,sdg,Europe and Northern America,total,Sanitation,2011,73.99873000000001,802067934.9709599,Safely managed service
1632,sdg,Europe and Northern America,total,Sanitation,2011,2.46061,26670402.14249,Unimproved
1649,sdg,Europe and Northern America,total,Sanitation,2012,22.58614,245587793.44427,Basic service
1652,sdg,Europe and Northern America,total,Sanitation,2012,0.6572,7145982.07686,Limited service
1655,sdg,Europe and Northern America,total,Sanitation,2012,0.0038399999999999997,41785.26384,Open defecation
1658,sdg,Europe and Northern America,total,Sanitation,2012,74.40585,809043545.53723,Safely managed service
1661,sdg,Europe and Northern America,total,Sanitation,2012,2.3469700000000002,25519479.4778,Unimproved
1678,sdg,Europe and Northern America,total,Sanitation,2013,22.30968,243295687.5676,Basic service
1681,sdg,Europe and Northern America,total,Sanitation,2013,0.64794,7066050.74517,Limited service
1684,sdg,Europe and Northern America,total,Sanitation,2013,0.0039299999999999995,42852.02907,Open defecation
1687,sdg,Europe and Northern America,total,Sanitation,2013,74.80305,815756308.2951,Safely managed service
1690,sdg,Europe and Northern America,total,Sanitation,2013,2.2354,24377914.26616,Unimproved
1707,sdg,Europe and Northern America,total,Sanitation,2014,22.04786,241128428.25871,Basic service
1710,sdg,Europe and Northern America,total,Sanitation,2014,0.6397,6996189.30563,Limited service
1713,sdg,Europe and Northern America,total,Sanitation,2014,0.0033399999999999997,36487.39024,Open defecation
1716,sdg,Europe and Northern America,total,Sanitation,2014,75.18597,822278306.2481099,Safely managed service
1719,sdg,Europe and Northern America,total,Sanitation,2014,2.1231400000000002,23219864.90041,Unimproved
1736,sdg,Europe and Northern America,total,Sanitation,2015,21.78195,238908273.3387,Basic service
1739,sdg,Europe and Northern America,total,Sanitation,2015,0.63661,6982496.9464,Limited service
1742,sdg,Europe and Northern America,total,Sanitation,2015,0.00336,36904.31655,Open defecation
1745,sdg,Europe and Northern America,total,Sanitation,2015,75.55994,828754587.88817,Safely managed service
1748,sdg,Europe and Northern America,total,Sanitation,2015,2.0181299999999998,22135230.21018,Unimproved
1765,sdg,Europe and Northern America,total,Sanitation,2017,21.30961,235105039.02117997,Basic service
1768,sdg,Europe and Northern America,total,Sanitation,2017,0.63413,6996245.86475,Limited service
1771,sdg,Europe and Northern America,total,Sanitation,2017,0.00337,37181.80167,Open defecation
1774,sdg,Europe and Northern America,total,Sanitation,2017,76.2336,841071355.27935,Safely managed service
1777,sdg,Europe and Northern America,total,Sanitation,2017,1.81928,20071821.03305,Unimproved
1795,sdg,Latin America and the Caribbean,total,Sanitation,2000,61.95338,325747786.03514,Basic service
1797,sdg,Latin America and the Caribbean,total,Sanitation,2000,5.27993,27761620.92762,Limited service
1800,sdg,Latin America and the Caribbean,total,Sanitation,2000,9.765239999999999,51345146.95795,Open defecation
1803,sdg,Latin America and the Caribbean,total,Sanitation,2000,11.53012,60624768.256869994,Safely managed service
1805,sdg,Latin America and the Caribbean,total,Sanitation,2000,11.47133,60315659.321890004,Unimproved
1823,sdg,Latin America and the Caribbean,total,Sanitation,2001,62.474940000000004,333085503.25202996,Basic service
1825,sdg,Latin America and the Caribbean,total,Sanitation,2001,5.25593,28022040.101,Limited service
1828,sdg,Latin America and the Caribbean,total,Sanitation,2001,9.257589999999999,49356909.702740006,Open defecation
1831,sdg,Latin America and the Caribbean,total,Sanitation,2001,11.869069999999999,63279992.3117,Safely managed service
1833,sdg,Latin America and the Caribbean,total,Sanitation,2001,11.14246,59406111.622540005,Unimproved
1851,sdg,Latin America and the Caribbean,total,Sanitation,2002,62.953140000000005,340169567.35267,Basic service
1853,sdg,Latin America and the Caribbean,total,Sanitation,2002,5.24519,28342579.258029997,Limited service
1856,sdg,Latin America and the Caribbean,total,Sanitation,2002,8.770669999999999,47392628.61233,Open defecation
1859,sdg,Latin America and the Caribbean,total,Sanitation,2002,12.20927,65973253.022630006,Safely managed service
1861,sdg,Latin America and the Caribbean,total,Sanitation,2002,10.82173,58475606.74434,Unimproved
1879,sdg,Latin America and the Caribbean,total,Sanitation,2003,63.06486999999999,345254215.10366,Basic service
1881,sdg,Latin America and the Caribbean,total,Sanitation,2003,5.237369999999999,28672466.605270002,Limited service
1884,sdg,Latin America and the Caribbean,total,Sanitation,2003,8.28495,45356689.71659,Open defecation
1887,sdg,Latin America and the Caribbean,total,Sanitation,2003,12.91125,70683754.36342,Safely managed service
1889,sdg,Latin America and the Caribbean,total,Sanitation,2003,10.501560000000001,57491716.512159996,Unimproved
1907,sdg,Latin America and the Caribbean,total,Sanitation,2004,63.0844,349829126.7556,Basic service
1909,sdg,Latin America and the Caribbean,total,Sanitation,2004,5.22501,28974817.672670003,Limited service
1912,sdg,Latin America and the Caribbean,total,Sanitation,2004,7.81716,43349383.72581,Open defecation
1915,sdg,Latin America and the Caribbean,total,Sanitation,2004,13.700270000000002,75973692.2552,Safely managed service
1917,sdg,Latin America and the Caribbean,total,Sanitation,2004,10.173160000000001,56414406.59072,Unimproved
1935,sdg,Latin America and the Caribbean,total,Sanitation,2005,63.575019999999995,357072854.20904,Basic service
1937,sdg,Latin America and the Caribbean,total,Sanitation,2005,5.00974,28137477.54354,Limited service
1940,sdg,Latin America and the Caribbean,total,Sanitation,2005,7.454619999999999,41869296.31461,Open defecation
1943,sdg,Latin America and the Caribbean,total,Sanitation,2005,14.59479,81972490.523,Safely managed service
1945,sdg,Latin America and the Caribbean,total,Sanitation,2005,9.36583,52603744.407809995,Unimproved
1963,sdg,Latin America and the Caribbean,total,Sanitation,2006,63.557809999999996,361528584.72016,Basic service
1965,sdg,Latin America and the Caribbean,total,Sanitation,2006,4.98752,28369930.05518,Limited service
1968,sdg,Latin America and the Caribbean,total,Sanitation,2006,6.8858,39167732.57362,Open defecation
1971,sdg,Latin America and the Caribbean,total,Sanitation,2006,15.40965,87652952.67374,Safely managed service
1973,sdg,Latin America and the Caribbean,total,Sanitation,2006,9.15922,52099328.97473,Unimproved
1991,sdg,Latin America and the Caribbean,total,Sanitation,2007,63.0957,363439754.08527005,Basic service
1993,sdg,Latin America and the Caribbean,total,Sanitation,2007,4.95456,28538926.471640002,Limited service
1996,sdg,Latin America and the Caribbean,total,Sanitation,2007,6.44831,37143127.718540005,Open defecation
1999,sdg,Latin America and the Caribbean,total,Sanitation,2007,16.67598,96055901.29008001,Safely managed service
2001,sdg,Latin America and the Caribbean,total,Sanitation,2007,8.82545,50835785.43447,Unimproved
2019,sdg,Latin America and the Caribbean,total,Sanitation,2008,62.591719999999995,365048876.30999,Basic service
2021,sdg,Latin America and the Caribbean,total,Sanitation,2008,4.91986,28693714.45858,Limited service
2024,sdg,Latin America and the Caribbean,total,Sanitation,2008,6.018330000000001,35100261.538,Open defecation
2027,sdg,Latin America and the Caribbean,total,Sanitation,2008,17.978820000000002,104856470.87718001,Safely managed service
2029,sdg,Latin America and the Caribbean,total,Sanitation,2008,8.49127,49522985.81625,Unimproved
2047,sdg,Latin America and the Caribbean,total,Sanitation,2009,62.04512,366322875.86762,Basic service
2049,sdg,Latin America and the Caribbean,total,Sanitation,2009,4.88197,28823829.02993,Limited service
2052,sdg,Latin America and the Caribbean,total,Sanitation,2009,5.59508,33034124.83257,Open defecation
2055,sdg,Latin America and the Caribbean,total,Sanitation,2009,19.32,114067893.51188001,Safely managed service
2057,sdg,Latin America and the Caribbean,total,Sanitation,2009,8.15783,48164934.787990004,Unimproved
2076,sdg,Latin America and the Caribbean,total,Sanitation,2010,61.43789,367129225.82922,Basic service
2078,sdg,Latin America and the Caribbean,total,Sanitation,2010,4.84202,28934065.31362,Limited service
2081,sdg,Latin America and the Caribbean,total,Sanitation,2010,5.17633,30931786.1787,Open defecation
2084,sdg,Latin America and the Caribbean,total,Sanitation,2010,20.70116,123702150.29171999,Safely managed service
2086,sdg,Latin America and the Caribbean,total,Sanitation,2010,7.8425899999999995,46864303.887329996,Unimproved
2108,sdg,Latin America and the Caribbean,total,Sanitation,2011,60.78674,367554155.33942,Basic service
2110,sdg,Latin America and the Caribbean,total,Sanitation,2011,4.80007,29024186.443959996,Limited service
2113,sdg,Latin America and the Caribbean,total,Sanitation,2011,4.76293,28799629.79475,Open defecation
2116,sdg,Latin America and the Caribbean,total,Sanitation,2011,22.12285,133768416.48566002,Safely managed service
2118,sdg,Latin America and the Caribbean,total,Sanitation,2011,7.5274,45515324.43561,Unimproved
2140,sdg,Latin America and the Caribbean,total,Sanitation,2012,60.091190000000005,367586133.14508,Basic service
2142,sdg,Latin America and the Caribbean,total,Sanitation,2012,4.75609,29093645.48812,Limited service
2145,sdg,Latin America and the Caribbean,total,Sanitation,2012,4.35544,26642826.65515,Open defecation
2148,sdg,Latin America and the Caribbean,total,Sanitation,2012,23.584629999999997,144270467.48459,Safely managed service
2150,sdg,Latin America and the Caribbean,total,Sanitation,2012,7.2126600000000005,44120830.22766,Unimproved
2172,sdg,Latin America and the Caribbean,total,Sanitation,2013,59.342369999999995,367150546.52254,Basic service
2174,sdg,Latin America and the Caribbean,total,Sanitation,2013,4.709969999999999,29140522.635209996,Limited service
2177,sdg,Latin America and the Caribbean,total,Sanitation,2013,3.95391,24462808.75668,Open defecation
2180,sdg,Latin America and the Caribbean,total,Sanitation,2013,25.08607,155207233.55624,Safely managed service
2182,sdg,Latin America and the Caribbean,total,Sanitation,2013,6.90768,42737723.5281,Unimproved
2204,sdg,Latin America and the Caribbean,total,Sanitation,2014,58.51752,366082052.16071004,Basic service
2206,sdg,Latin America and the Caribbean,total,Sanitation,2014,4.66219,29166348.085709997,Limited service
2209,sdg,Latin America and the Caribbean,total,Sanitation,2014,3.55033,22210638.53419,Open defecation
2212,sdg,Latin America and the Caribbean,total,Sanitation,2014,26.62906,166589784.04614,Safely managed service
2214,sdg,Latin America and the Caribbean,total,Sanitation,2014,6.640910000000001,41545104.15387,Unimproved
2236,sdg,Latin America and the Caribbean,total,Sanitation,2015,57.648630000000004,364558886.35993,Basic service
2238,sdg,Latin America and the Caribbean,total,Sanitation,2015,4.61161,29162968.84726,Limited service
2241,sdg,Latin America and the Caribbean,total,Sanitation,2015,3.18844,20163066.11442,Open defecation
2244,sdg,Latin America and the Caribbean,total,Sanitation,2015,28.212590000000002,178411033.78026,Safely managed service
2246,sdg,Latin America and the Caribbean,total,Sanitation,2015,6.3387199999999995,40084874.89813,Unimproved
2268,sdg,Latin America and the Caribbean,total,Sanitation,2017,55.858869999999996,360621085.36917,Basic service
2270,sdg,Latin America and the Caribbean,total,Sanitation,2017,4.52564,29217218.95712,Limited service
2273,sdg,Latin America and the Caribbean,total,Sanitation,2017,2.42171,15634366.402020002,Open defecation
2276,sdg,Latin America and the Caribbean,total,Sanitation,2017,31.31875,202191739.2216,Safely managed service
2278,sdg,Latin America and the Caribbean,total,Sanitation,2017,5.87504,37928843.05008,Unimproved
2297,sdg,Northern Africa and Western Asia,total,Sanitation,2000,51.391259999999996,183763691.28484,Basic service
2299,sdg,Northern Africa and Western Asia,total,Sanitation,2000,5.069030000000001,18125720.7901,Limited service
2302,sdg,Northern Africa and Western Asia,total,Sanitation,2000,9.05225,32368835.375690002,Open defecation
2305,sdg,Northern Africa and Western Asia,total,Sanitation,2000,26.24922,93861369.0504,Safely managed service
2307,sdg,Northern Africa and Western Asia,total,Sanitation,2000,8.23824,29458125.49862,Unimproved
2323,sdg,Northern Africa and Western Asia,total,Sanitation,2001,51.21132,186577775.52168998,Basic service
2325,sdg,Northern Africa and Western Asia,total,Sanitation,2001,5.0785599999999995,18502667.89421,Limited service
2328,sdg,Northern Africa and Western Asia,total,Sanitation,2001,8.8634,32291954.61502,Open defecation
2331,sdg,Northern Africa and Western Asia,total,Sanitation,2001,26.66913,97163433.92618,Safely managed service
2333,sdg,Northern Africa and Western Asia,total,Sanitation,2001,8.177589999999999,29793364.543270003,Unimproved
2349,sdg,Northern Africa and Western Asia,total,Sanitation,2002,51.32294,190528977.60458001,Basic service
2351,sdg,Northern Africa and Western Asia,total,Sanitation,2002,5.0231,18647542.43885,Limited service
2354,sdg,Northern Africa and Western Asia,total,Sanitation,2002,8.670110000000001,32186507.383470003,Open defecation
2357,sdg,Northern Africa and Western Asia,total,Sanitation,2002,27.029559999999996,100343329.27514,Safely managed service
2359,sdg,Northern Africa and Western Asia,total,Sanitation,2002,7.954280000000001,29529124.798329998,Unimproved
2375,sdg,Northern Africa and Western Asia,total,Sanitation,2003,51.20288,193732914.5877,Basic service
2377,sdg,Northern Africa and Western Asia,total,Sanitation,2003,4.96945,18802592.89145,Limited service
2380,sdg,Northern Africa and Western Asia,total,Sanitation,2003,8.45014,31972219.639840003,Open defecation
2383,sdg,Northern Africa and Western Asia,total,Sanitation,2003,27.70038,104808065.53974,Safely managed service
2385,sdg,Northern Africa and Western Asia,total,Sanitation,2003,7.67715,29047520.84127,Unimproved
2401,sdg,Northern Africa and Western Asia,total,Sanitation,2004,51.068529999999996,197016818.02108002,Basic service
2403,sdg,Northern Africa and Western Asia,total,Sanitation,2004,4.90677,18929770.30962,Limited service
2406,sdg,Northern Africa and Western Asia,total,Sanitation,2004,8.22718,31739569.62013,Open defecation
2409,sdg,Northern Africa and Western Asia,total,Sanitation,2004,28.40212,109572301.79687,Safely managed service
2411,sdg,Northern Africa and Western Asia,total,Sanitation,2004,7.3954,28530664.252690002,Unimproved
2427,sdg,Northern Africa and Western Asia,total,Sanitation,2005,51.018209999999996,200788777.59473002,Basic service
2429,sdg,Northern Africa and Western Asia,total,Sanitation,2005,4.8022800000000005,18899990.416220002,Limited service
2432,sdg,Northern Africa and Western Asia,total,Sanitation,2005,7.814139999999999,30753568.57699,Open defecation
2435,sdg,Northern Africa and Western Asia,total,Sanitation,2005,29.184620000000002,114859832.42498,Safely managed service
2437,sdg,Northern Africa and Western Asia,total,Sanitation,2005,7.18075,28260775.88709,Unimproved
2453,sdg,Northern Africa and Western Asia,total,Sanitation,2006,50.97227,204760073.78942,Basic service
2455,sdg,Northern Africa and Western Asia,total,Sanitation,2006,4.69444,18857965.38916,Limited service
2458,sdg,Northern Africa and Western Asia,total,Sanitation,2006,7.39261,29696747.960009996,Open defecation
2461,sdg,Northern Africa and Western Asia,total,Sanitation,2006,29.979020000000002,120428359.41193001,Safely managed service
2463,sdg,Northern Africa and Western Asia,total,Sanitation,2006,6.96166,27965611.54948,Unimproved
2479,sdg,Northern Africa and Western Asia,total,Sanitation,2007,50.91625,208859817.81137,Basic service
2481,sdg,Northern Africa and Western Asia,total,Sanitation,2007,4.57779,18778221.28879,Limited service
2484,sdg,Northern Africa and Western Asia,total,Sanitation,2007,6.97014,28591682.05938,Open defecation
2487,sdg,Northern Africa and Western Asia,total,Sanitation,2007,30.79676,126329146.65545,Safely managed service
2489,sdg,Northern Africa and Western Asia,total,Sanitation,2007,6.73906,27643790.185409997,Unimproved
2505,sdg,Northern Africa and Western Asia,total,Sanitation,2008,50.85521,213074364.32584,Basic service
2507,sdg,Northern Africa and Western Asia,total,Sanitation,2008,4.45951,18684559.28738,Limited service
2510,sdg,Northern Africa and Western Asia,total,Sanitation,2008,6.54473,27421268.66787,Open defecation
2513,sdg,Northern Africa and Western Asia,total,Sanitation,2008,31.61611,132465941.56037,Safely managed service
2515,sdg,Northern Africa and Western Asia,total,Sanitation,2008,6.52444,27336273.15854,Unimproved
2534,sdg,Northern Africa and Western Asia,total,Sanitation,2009,50.78969,217357694.75278,Basic service
2536,sdg,Northern Africa and Western Asia,total,Sanitation,2009,4.3403599999999996,18574857.73924,Limited service
2539,sdg,Northern Africa and Western Asia,total,Sanitation,2009,6.1314400000000004,26239899.32315,Open defecation
2542,sdg,Northern Africa and Western Asia,total,Sanitation,2009,32.42634,138770598.52739,Safely managed service
2544,sdg,Northern Africa and Western Asia,total,Sanitation,2009,6.31217,27013323.45744,Unimproved
2566,sdg,Northern Africa and Western Asia,total,Sanitation,2010,50.7491,221798047.7286,Basic service
2568,sdg,Northern Africa and Western Asia,total,Sanitation,2010,4.22014,18444059.50192,Limited service
2571,sdg,Northern Africa and Western Asia,total,Sanitation,2010,5.72659,25027975.32216,Open defecation
2574,sdg,Northern Africa and Western Asia,total,Sanitation,2010,33.19482,145077350.36271998,Safely managed service
2576,sdg,Northern Africa and Western Asia,total,Sanitation,2010,6.10934,26700781.58461,Unimproved
2598,sdg,Northern Africa and Western Asia,total,Sanitation,2011,50.75788,226500288.77339,Basic service
2600,sdg,Northern Africa and Western Asia,total,Sanitation,2011,4.09774,18285632.91635,Limited service
2603,sdg,Northern Africa and Western Asia,total,Sanitation,2011,5.30521,23673774.75785,Open defecation
2606,sdg,Northern Africa and Western Asia,total,Sanitation,2011,33.89695,151260658.61246002,Safely managed service
2608,sdg,Northern Africa and Western Asia,total,Sanitation,2011,5.94222,26516371.73994,Unimproved
2630,sdg,Northern Africa and Western Asia,total,Sanitation,2012,50.79444,231373918.17332998,Basic service
2632,sdg,Northern Africa and Western Asia,total,Sanitation,2012,3.9714400000000003,18090318.00266,Limited service
2635,sdg,Northern Africa and Western Asia,total,Sanitation,2012,4.91879,22405607.8764,Open defecation
2638,sdg,Northern Africa and Western Asia,total,Sanitation,2012,34.56212,157434017.83319,Safely managed service
2640,sdg,Northern Africa and Western Asia,total,Sanitation,2012,5.75321,26206484.41442,Unimproved
2662,sdg,Northern Africa and Western Asia,total,Sanitation,2013,50.84507,236334177.22458,Basic service
2664,sdg,Northern Africa and Western Asia,total,Sanitation,2013,3.8404199999999995,17850730.21911,Limited service
2667,sdg,Northern Africa and Western Asia,total,Sanitation,2013,4.54504,21125911.26255,Open defecation
2670,sdg,Northern Africa and Western Asia,total,Sanitation,2013,35.20662,163644759.56852,Safely managed service
2672,sdg,Northern Africa and Western Asia,total,Sanitation,2013,5.56285,25856838.725229997,Unimproved
2694,sdg,Northern Africa and Western Asia,total,Sanitation,2014,50.85388,241087468.69127002,Basic service
2696,sdg,Northern Africa and Western Asia,total,Sanitation,2014,3.76419,17845202.49845,Limited service
2699,sdg,Northern Africa and Western Asia,total,Sanitation,2014,4.25274,20161356.63061,Open defecation
2702,sdg,Northern Africa and Western Asia,total,Sanitation,2014,35.82972,169861100.5169,Safely managed service
2704,sdg,Northern Africa and Western Asia,total,Sanitation,2014,5.29946,25123635.69277,Unimproved
2726,sdg,Northern Africa and Western Asia,total,Sanitation,2015,50.73981,245205003.54834,Basic service
2728,sdg,Northern Africa and Western Asia,total,Sanitation,2015,3.6929800000000004,17846662.62178,Limited service
2731,sdg,Northern Africa and Western Asia,total,Sanitation,2015,3.96769,19174227.01215,Open defecation
2734,sdg,Northern Africa and Western Asia,total,Sanitation,2015,36.4763,176275200.96628,Safely managed service
2736,sdg,Northern Africa and Western Asia,total,Sanitation,2015,5.12322,24758470.85145,Unimproved
2758,sdg,Northern Africa and Western Asia,total,Sanitation,2017,50.216159999999995,251715056.94955,Basic service
2760,sdg,Northern Africa and Western Asia,total,Sanitation,2017,3.52984,17693783.75752,Limited service
2763,sdg,Northern Africa and Western Asia,total,Sanitation,2017,3.8563300000000003,19330367.63583,Open defecation
2766,sdg,Northern Africa and Western Asia,total,Sanitation,2017,37.54103,188179329.05056,Safely managed service
2768,sdg,Northern Africa and Western Asia,total,Sanitation,2017,4.8566400000000005,24344560.90653,Unimproved
2783,sdg,Oceania,total,Sanitation,2000,37.517759999999996,3115694.27137,At least basic
2786,sdg,Oceania,total,Sanitation,2000,4.18574,347608.79106,Limited service
2789,sdg,Oceania,total,Sanitation,2000,12.85034,1067167.412,Open defecation
2792,sdg,Oceania,total,Sanitation,2000,45.44616,3774115.52556,Unimproved
2807,sdg,Oceania,total,Sanitation,2001,37.45459,3176292.2986,At least basic
2810,sdg,Oceania,total,Sanitation,2001,4.16943,353583.71253,Limited service
2813,sdg,Oceania,total,Sanitation,2001,12.846739999999999,1089453.06635,Open defecation
2816,sdg,Oceania,total,Sanitation,2001,45.52924,3861053.92253,Unimproved
2831,sdg,Oceania,total,Sanitation,2002,37.28334,3227273.9588099997,At least basic
2834,sdg,Oceania,total,Sanitation,2002,4.1702,360975.80715,Limited service
2837,sdg,Oceania,total,Sanitation,2002,12.87557,1114518.6571,Open defecation
2840,sdg,Oceania,total,Sanitation,2002,45.67089,3953306.5769300004,Unimproved
2855,sdg,Oceania,total,Sanitation,2003,37.209990000000005,3286617.01863,At least basic
2858,sdg,Oceania,total,Sanitation,2003,4.17697,368935.64501,Limited service
2861,sdg,Oceania,total,Sanitation,2003,12.89429,1138903.91206,Open defecation
2864,sdg,Oceania,total,Sanitation,2003,45.718740000000004,4038162.42429,Unimproved
2879,sdg,Oceania,total,Sanitation,2004,37.1323,3346132.1757900002,At least basic
2882,sdg,Oceania,total,Sanitation,2004,4.1824900000000005,376899.62522,Limited service
2885,sdg,Oceania,total,Sanitation,2004,12.91088,1163448.11264,Open defecation
2888,sdg,Oceania,total,Sanitation,2004,45.77434,4124899.08635,Unimproved
2903,sdg,Oceania,total,Sanitation,2005,36.628890000000006,3367432.6636,At least basic
2906,sdg,Oceania,total,Sanitation,2005,4.1553,382012.87868,Limited service
2909,sdg,Oceania,total,Sanitation,2005,12.99146,1194354.47068,Open defecation
2912,sdg,Oceania,total,Sanitation,2005,46.224340000000005,4249578.98703,Unimproved
2927,sdg,Oceania,total,Sanitation,2006,36.13006,3388629.50346,At least basic
2930,sdg,Oceania,total,Sanitation,2006,4.1265,387023.79584000004,Limited service
2933,sdg,Oceania,total,Sanitation,2006,13.07002,1225834.4751600001,Open defecation
2936,sdg,Oceania,total,Sanitation,2006,46.67341,4377488.22554,Unimproved
2951,sdg,Oceania,total,Sanitation,2007,35.635059999999996,3409449.71053,At least basic
2954,sdg,Oceania,total,Sanitation,2007,4.0963199999999995,391922.48035,Limited service
2957,sdg,Oceania,total,Sanitation,2007,13.11731,1255023.0309,Open defecation
2960,sdg,Oceania,total,Sanitation,2007,47.151309999999995,4511287.77823,Unimproved
2975,sdg,Oceania,total,Sanitation,2008,35.14062,3429355.23445,At least basic
2978,sdg,Oceania,total,Sanitation,2008,4.06905,397096.45549,Limited service
2981,sdg,Oceania,total,Sanitation,2008,13.19015,1287219.72616,Open defecation
2984,sdg,Oceania,total,Sanitation,2008,47.60018,4645276.58389,Unimproved
2999,sdg,Oceania,total,Sanitation,2009,34.64867,3448147.9548400003,At least basic
3002,sdg,Oceania,total,Sanitation,2009,4.04132,402181.48513000004,Limited service
3005,sdg,Oceania,total,Sanitation,2009,13.26133,1319734.0187799998,Open defecation
3008,sdg,Oceania,total,Sanitation,2009,48.04868,4781682.51125,Unimproved
3023,sdg,Oceania,total,Sanitation,2010,34.15583,3465259.63736,At least basic
3026,sdg,Oceania,total,Sanitation,2010,4.01524,407363.56468,Limited service
3029,sdg,Oceania,total,Sanitation,2010,13.33165,1352554.36926,Open defecation
3032,sdg,Oceania,total,Sanitation,2010,48.497279999999996,4920262.42868,Unimproved
3047,sdg,Oceania,total,Sanitation,2011,33.66098,3480448.9535800004,At least basic
3050,sdg,Oceania,total,Sanitation,2011,3.9914400000000003,412703.61973000003,Limited service
3053,sdg,Oceania,total,Sanitation,2011,13.40144,1385670.40977,Open defecation
3056,sdg,Oceania,total,Sanitation,2011,48.94614,5060890.016919999,Unimproved
3071,sdg,Oceania,total,Sanitation,2012,33.16619,3494009.7806300004,At least basic
3074,sdg,Oceania,total,Sanitation,2012,3.97002,418235.90024,Limited service
3077,sdg,Oceania,total,Sanitation,2012,13.470310000000001,1419077.17749,Open defecation
3080,sdg,Oceania,total,Sanitation,2012,49.39348,5203531.14163,Unimproved
3095,sdg,Oceania,total,Sanitation,2013,32.673770000000005,3506268.96941,At least basic
3098,sdg,Oceania,total,Sanitation,2013,3.9507,423955.40825,Limited service
3101,sdg,Oceania,total,Sanitation,2013,13.534320000000001,1452387.25645,Open defecation
3104,sdg,Oceania,total,Sanitation,2013,49.8412,5348530.36587,Unimproved
3119,sdg,Oceania,total,Sanitation,2014,32.18595,3517609.05625,At least basic
3122,sdg,Oceania,total,Sanitation,2014,3.9327,429805.53335,Limited service
3125,sdg,Oceania,total,Sanitation,2014,13.59736,1486058.25541,Open defecation
3128,sdg,Oceania,total,Sanitation,2014,50.28399,5495548.15499,Unimproved
3143,sdg,Oceania,total,Sanitation,2015,31.703459999999996,3528243.4830199997,At least basic
3146,sdg,Oceania,total,Sanitation,2015,3.9153,435729.81158000004,Limited service
3149,sdg,Oceania,total,Sanitation,2015,13.65205,1519322.21361,Open defecation
3152,sdg,Oceania,total,Sanitation,2015,50.72919,5645596.491780001,Unimproved
3167,sdg,Oceania,total,Sanitation,2017,30.302809999999997,3495248.9258800005,At least basic
3170,sdg,Oceania,total,Sanitation,2017,3.93381,453741.90903000004,Limited service
3173,sdg,Oceania,total,Sanitation,2017,13.938670000000002,1607743.39294,Open defecation
3176,sdg,Oceania,total,Sanitation,2017,51.824709999999996,5977672.77216,Unimproved
3191,sdg,Sub-Saharan Africa,total,Sanitation,2000,8.18178,52773078.39431,Basic service
3194,sdg,Sub-Saharan Africa,total,Sanitation,2000,15.0989,97388976.86773,Limited service
3197,sdg,Sub-Saharan Africa,total,Sanitation,2000,32.48551,209533874.91406,Open defecation
3200,sdg,Sub-Saharan Africa,total,Sanitation,2000,14.849079999999999,95777653.67233,Safely managed service
3203,sdg,Sub-Saharan Africa,total,Sanitation,2000,29.38472,189533549.65157,Unimproved
3221,sdg,Sub-Saharan Africa,total,Sanitation,2001,8.30128,54980352.12591,Basic service
3224,sdg,Sub-Saharan Africa,total,Sanitation,2001,15.30034,101336001.61256999,Limited service
3227,sdg,Sub-Saharan Africa,total,Sanitation,2001,31.75719,210331697.23804,Open defecation
3230,sdg,Sub-Saharan Africa,total,Sanitation,2001,15.131470000000002,100217522.63318,Safely managed service
3233,sdg,Sub-Saharan Africa,total,Sanitation,2001,29.509729999999998,195446517.39029,Unimproved
3251,sdg,Sub-Saharan Africa,total,Sanitation,2002,8.401539999999999,57138076.82092,Basic service
3254,sdg,Sub-Saharan Africa,total,Sanitation,2002,15.45734,105123914.72079,Limited service
3257,sdg,Sub-Saharan Africa,total,Sanitation,2002,31.013140000000003,210917418.89508998,Open defecation
3260,sdg,Sub-Saharan Africa,total,Sanitation,2002,15.452539999999999,105091217.43705,Safely managed service
3263,sdg,Sub-Saharan Africa,total,Sanitation,2002,29.675440000000002,201819804.12546998,Unimproved
3281,sdg,Sub-Saharan Africa,total,Sanitation,2003,8.607280000000001,60113654.941290006,Basic service
3284,sdg,Sub-Saharan Africa,total,Sanitation,2003,15.61863,109081264.64561999,Limited service
3287,sdg,Sub-Saharan Africa,total,Sanitation,2003,30.26445,211368362.92958,Open defecation
3290,sdg,Sub-Saharan Africa,total,Sanitation,2003,15.66514,109406057.10438001,Safely managed service
3293,sdg,Sub-Saharan Africa,total,Sanitation,2003,29.8445,208435388.37983,Unimproved
3311,sdg,Sub-Saharan Africa,total,Sanitation,2004,8.80975,63195082.17044,Basic service
3314,sdg,Sub-Saharan Africa,total,Sanitation,2004,15.79928,113333131.39716999,Limited service
3317,sdg,Sub-Saharan Africa,total,Sanitation,2004,29.511409999999998,211694439.15391,Open defecation
3320,sdg,Sub-Saharan Africa,total,Sanitation,2004,15.86692,113818276.57423998,Safely managed service
3323,sdg,Sub-Saharan Africa,total,Sanitation,2004,30.01264,215289896.70424,Unimproved
3341,sdg,Sub-Saharan Africa,total,Sanitation,2005,9.020589999999999,66475012.484019995,Basic service
3344,sdg,Sub-Saharan Africa,total,Sanitation,2005,15.97216,117702915.10607,Limited service
